trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9999500004166653, 'a': 0.01}",20,0,-98.99818940628549,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'e': 0.9998000066665778, 'a': 0.01}",35,1,-133.3019813079873,"{0: 20, 1: 9, 2: 3, 3: 0, 4: 2}",1
3,False,"{'e': 0.9995500337489875, 'a': 0.01}",30,0,-107.76553929132311,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'e': 0.9992001066609779, 'a': 0.01}",20,0,-79.8008202905676,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
5,False,"{'e': 0.9987502603949663, 'a': 0.01}",30,0,-279.8912751966926,"{0: 11, 1: 5, 2: 9, 3: 1, 4: 4}",0
6,False,"{'e': 0.9982005399352042, 'a': 0.01}",20,0,-76.922388247947,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'e': 0.9975510002532796, 'a': 0.01}",20,1,-79.49696784404601,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 1}",1
8,False,"{'e': 0.9968017063026194, 'a': 0.01}",30,0,-167.15094067035136,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,False,"{'e': 0.9959527330119943, 'a': 0.01}",20,0,-118.49870072325592,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'e': 0.9950041652780257, 'a': 0.01}",20,0,-86.73283067878856,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
11,False,"{'e': 0.9939560979566968, 'a': 0.01}",20,5,-55.77003022694439,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'e': 0.9928086358538663, 'a': 0.01}",25,0,-121.83334327897816,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'e': 0.9915618937147881, 'a': 0.01}",25,0,-75.11795703293626,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
14,False,"{'e': 0.9902159962126371, 'a': 0.01}",25,0,-167.40680238060358,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
15,False,"{'e': 0.9887710779360422, 'a': 0.01}",25,0,-168.60185240708867,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'e': 0.9872272833756269, 'a': 0.01}",20,0,-29.09411241362182,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
17,False,"{'e': 0.9855847669095608, 'a': 0.01}",20,0,-135.80153128711223,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'e': 0.9838436927881214, 'a': 0.01}",25,9,-100.82062569682705,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
19,False,"{'e': 0.9820042351172703, 'a': 0.01}",20,9,-5.393830618451837,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'e': 0.9800665778412416, 'a': 0.01}",30,0,-214.98268981104786,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
21,False,"{'e': 0.9780309147241483, 'a': 0.01}",25,0,-67.87766972828224,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
22,False,"{'e': 0.9758974493306055, 'a': 0.01}",30,0,-168.62994009585003,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
23,False,"{'e': 0.9736663950053749, 'a': 0.01}",20,0,-59.27673270455684,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,False,"{'e': 0.9713379748520297, 'a': 0.01}",25,0,-93.09568482996403,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
25,False,"{'e': 0.9689124217106447, 'a': 0.01}",25,3,-40.05151729993615,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 0}",1
26,False,"{'e': 0.9663899781345132, 'a': 0.01}",20,0,-69.06635501760786,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
27,False,"{'e': 0.9637708963658905, 'a': 0.01}",30,20,-45.11897487799713,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
28,False,"{'e': 0.9610554383107709, 'a': 0.01}",20,5,-137.2754616520038,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 2}",1
29,False,"{'e': 0.9582438755126972, 'a': 0.01}",20,0,-139.7273597875195,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
30,False,"{'e': 0.955336489125606, 'a': 0.01}",25,0,-200.912090269195,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
31,False,"{'e': 0.9523335698857134, 'a': 0.01}",25,0,-130.38468001679271,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
32,False,"{'e': 0.9492354180824408, 'a': 0.01}",20,0,-109.18574114904399,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
33,False,"{'e': 0.946042343528387, 'a': 0.01}",20,0,-29.017053862366545,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
34,False,"{'e': 0.9427546655283462, 'a': 0.01}",25,0,-268.7964706749515,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 5}",0
35,False,"{'e': 0.9393727128473789, 'a': 0.01}",30,0,-72.74521223617717,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
36,False,"{'e': 0.9358968236779348, 'a': 0.01}",20,9,-69.94332804049701,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
37,False,"{'e': 0.9323273456060345, 'a': 0.01}",25,0,-149.4372174776885,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
38,False,"{'e': 0.9286646355765102, 'a': 0.01}",20,1,-105.14950613445849,"{0: 11, 1: 4, 2: 0, 3: 3, 4: 1}",1
