trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.8775825618903728, 'a': 0.5}",20,-100,-561.2899371760719,"{0: 72, 1: 13, 2: 25, 3: 3, 4: 7}",0
2,False,"{'e': 0.5403023058681398, 'a': 0.5}",20,-97,-392.6158331488612,"{0: 74, 1: 14, 2: 23, 3: 2, 4: 4}",0
3,False,"{'e': 0.0707372016677029, 'a': 0.5}",20,6,-86.19918972788979,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,False,"{'e': 0.4161468365471424, 'a': 0.5}",30,-100,-793.0959263511403,"{0: 64, 1: 19, 2: 30, 3: 9, 4: 8}",0
5,False,"{'e': 0.8011436155469337, 'a': 0.5}",25,-93,-563.6871071361063,"{0: 70, 1: 14, 2: 22, 3: 5, 4: 7}",0
6,False,"{'e': 0.9899924966004454, 'a': 0.5}",20,3,-32.107304700858684,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
7,False,"{'e': 0.9364566872907963, 'a': 0.5}",25,-15,-276.6094432375015,"{0: 17, 1: 5, 2: 12, 3: 4, 4: 2}",0
8,False,"{'e': 0.6536436208636119, 'a': 0.5}",25,-87,-529.7906917219116,"{0: 55, 1: 20, 2: 31, 3: 2, 4: 4}",0
9,False,"{'e': 0.21079579943077972, 'a': 0.5}",25,-99,-611.6417668040086,"{0: 74, 1: 18, 2: 19, 3: 5, 4: 8}",0
10,False,"{'e': 0.2836621854632263, 'a': 0.5}",30,-3,-124.1398291577107,"{0: 17, 1: 5, 2: 9, 3: 2, 4: 0}",0
11,False,"{'e': 0.70866977429126, 'a': 0.5}",35,-88,-547.8768072330541,"{0: 75, 1: 16, 2: 21, 3: 3, 4: 8}",0
12,False,"{'e': 0.9601702866503661, 'a': 0.5}",30,-100,-806.544328699312,"{0: 73, 1: 18, 2: 22, 3: 4, 4: 13}",0
13,False,"{'e': 0.9765876257280235, 'a': 0.5}",20,-100,-541.7201054389632,"{0: 71, 1: 22, 2: 14, 3: 7, 4: 6}",0
14,False,"{'e': 0.7539022543433046, 'a': 0.5}",30,-8,-170.1709231253467,"{0: 23, 1: 3, 2: 9, 3: 1, 4: 2}",0
15,False,"{'e': 0.3466353178350258, 'a': 0.5}",25,-100,-694.8138875225224,"{0: 65, 1: 16, 2: 33, 3: 3, 4: 8}",0
16,False,"{'e': 0.14550003380861354, 'a': 0.5}",20,-100,-642.8550428343718,"{0: 65, 1: 18, 2: 24, 3: 6, 4: 7}",0
17,False,"{'e': 0.6020119026848236, 'a': 0.5}",30,11,-93.23436230768061,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
18,False,"{'e': 0.9111302618846769, 'a': 0.5}",25,-34,-304.89303850734535,"{0: 39, 1: 4, 2: 7, 3: 4, 4: 5}",0
19,False,"{'e': 0.9971721561963784, 'a': 0.5}",20,-18,-204.65381872050247,"{0: 21, 1: 3, 2: 8, 3: 5, 4: 1}",0
20,False,"{'e': 0.8390715290764524, 'a': 0.5}",25,-63,-457.63611641705825,"{0: 48, 1: 12, 2: 19, 3: 4, 4: 5}",0
1,True,"{'e': 0, 'a': 0}",25,-19,-251.09076838378735,"{0: 27, 1: 4, 2: 7, 3: 2, 4: 4}",0
